,LOCALIZED,ISSN,ISSN.1,ISSN.2,ISBN,ISBN.1,ISBN.2,OTHER_SYSTEM_NUMBER,OTHER_SYSTEM_NUMBER.1,OTHER_SYSTEM_NUMBER.2,PORTFOLIO_PID,MMS,TITLE,FROM_YEAR,TO_YEAR,FROM_MONTH,TO_MONTH,FROM_DAY,TO_DAY,FROM_VOLUME,TO_VOLUME,FROM_ISSUE,TO_ISSUE,PUBLICATION_DATE_OPERATOR,PUBLICATION_DATE_YEAR,PUBLICATION_DATE_MONTH,GLOBAL_FROM_YEAR,GLOBAL_TO_YEAR,GLOBAL_FROM_MONTH,GLOBAL_TO_MONTH,GLOBAL_FROM_DAY,GLOBAL_TO_DAY,GLOBAL_FROM_VOLUME,GLOBAL_TO_VOLUME,GLOBAL_FROM_ISSUE,GLOBAL_TO_ISSUE,GLOBAL_PUBLICATION_DATE_OPERATOR,GLOBAL_PUBLICATION_DATE_YEAR,GLOBAL_PUBLICATION_DATE_MONTH,ACCESS_TYPE,PERPETUAL_FROM_YEAR,PERPETUAL_TO_YEAR,PERPETUAL_FROM_MONTH,PERPETUAL_TO_MONTH,PERPETUAL_FROM_DAY,PERPETUAL_TO_DAY,PERPETUAL_FROM_VOLUME,PERPETUAL_TO_VOLUME,PERPETUAL_FROM_ISSUE,PERPETUAL_TO_ISSUE,PERPETUAL_PUBLICATION_DATE_OPERATOR,PERPETUAL_PUBLICATION_DATE_YEAR,PERPETUAL_PUBLICATION_DATE_MONTH,AVAILABILITY,PUBLISHER,PLACE_OF_PUBLICATION,DATE_OF_PUBLICATION,URL,PARSER_PARAMETERS,PROXY_ENABLE,PROXY_SELECTED,PROXY_LEVEL,AUTHOR,ELECTRONIC_MATERIAL_TYPE,OWNERSHIP,GROUP_NAME,GROUP_FROM_YEAR,GROUP_TO_YEAR,GROUP_FROM_MONTH,GROUP_TO_MONTH,GROUP_FROM_DAY,GROUP_TO_DAY,GROUP_FROM_VOLUME,GROUP_TO_VOLUME,GROUP_FROM_ISSUE,GROUP_TO_ISSUE,GROUP_PUBLICATION_DATE_OPERATOR,GROUP_PUBLICATION_DATE_YEAR,GROUP_PUBLICATION_DATE_MONTH,GROUP_PROXY_ENABLE,GROUP_PROXY_SELECTED,GROUP_AUTHENTICATION_NOTES,GROUP_PUBLIC_NOTES,AUTHENTICATION_NOTES,PUBLIC_NOTES,INTERNAL_DESCRIPTION,COVERAGE_STATEMENT,ACTIVATION_DATE,EXPECTED_ACTIVATION_DATE,LICENSE,LICENSE_NAME,COLLECTION_LICENSE,COLLECTION_LICENSE_NAME,PDA,EBA,PO_LINE,LANGUAGE,COUNTER_PLATFORM,NOTES,MarkBuy
0,N,,,,0128042710,0128134224,9780128134221,(OCoLC)on1090396924,(OCoLC)1090396924,(OCoLC)1229464007,53442855320002917,991023704148602917,International futures : building and using global models / Barry B. Hughes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press, an imprint of Elsevier,","London, United Kingdom :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128042717,,False,,,"Hughes, Barry B., 1945- author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
1,N,,,,0128171030,0128171049,9780128171042,(OCoLC)on1089449187,(OCoLC)1089449187,(OCoLC)1296541005,53442855350002917,991023704148902917,Solid state physics : an introduction to theory / Joginder Singh Galsin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press, an imprint of Elsevier,","London, United Kingdom :",2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128171035,,False,,,"Galsin, Joginder Singh, 1947- author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
2,N,,,,9780128167984,0128167998,9780128167991,(OCoLC)on1076485471,(OCoLC)1076485471,(OCoLC)1076793874,53442855380002917,991023704149502917,"Proper orthogonal decomposition methods for partial differential equations / Zhendong Luo, Goong Chen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press, an imprint of Elsevier,","London, United Kingdom :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128167984,,False,,,"Luo, Zhendong, author School of Mathematics and Physics, North China Electric Power University",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
3,N,,,,9780128133668,0128133678,9780128133675,(OCoLC)on1081422793,(OCoLC)1081422793,(OCoLC)1082307968,53442855410002917,991023704149202917,"Magnonics / Abdellatif Akjouj, Leonard Dobrzyński, Housni Al-Wahsh, El Houssaine El Boudouti, Gaëtan Lévêque, Yan Pennec, Bahram Djafari-Rouhani.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128133668,,False,,,"Akjouj, Abdellatif, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
4,N,,,,9780128149485,0128149485,9780128149485,(OCoLC)on1051340762,(OCoLC)1051340762,(OCoLC)1151672720,53442855440002917,991023704150402917,"Introductory differential equations / Martha L.L. Abell, James P. Braselton.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press,",Amsterdam :,2018.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128149485,,False,,,"Abell, Martha L., 1962- author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,Y
5,N,,,,9780128134061,9780128133651,0128133651,(OCoLC)on1059124774,(OCoLC)1059124774,(OCoLC)1253408298,53442855470002917,991023704149802917,Optical wireless communications for broadband global internet connectivity : fundamentals and potential applications / Arun K. Majumdar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128133651,,False,,,"Majumdar, Arun K., author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
6,N,,,,9780128144824,0128144831,9780128144831,(OCoLC)on1129385704,(OCoLC)1129385704,(OCoLC)1128825424,53442855500002917,991023704147902917,"Computational learning approaches to data analytics in biomedical applications / Khalid Al-Jabery, Tayo Obafemi-Ajayi, Gayla Olbricht, Donald Wunsch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press,","London ; San Diego, CA :",[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128144824,,False,,,"Al-Jabery, Khalid, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
7,N,,,,9780128195833,0128195835,9780128195840,(OCoLC)on1124762533,(OCoLC)1124762533,(OCoLC)1153642017,53442855530002917,991023704148102917,Computational modeling in bioengineering and bioinformatics / Nenad Filipovic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press, an imprint of Elsevier,","London, United Kingdom :",[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128195833,,False,,,"Filipovic, Nenad, 1970- author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
8,N,,,,0128140666,9780128140666,0128140690,(OCoLC)on1057307059,(OCoLC)1057307059,(OCoLC)1176505865,53442855560002917,991023704150102917,"Algebraic and combinatorial computational biology / edited by Raina Robeva, Matthew Macauley.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press is an imprint of Elsevier,","London ; San Diego, CA :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128140666,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
9,N,,,,0128178019,0128178027,9780128178027,(OCoLC)on1102049109,(OCoLC)1102049109,,53442855590002917,991023704148402917,From dimension-free matrix theory to cross -dimensional dynamic systems / Daizhan Cheng.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press, an imprint of Elsevier,","London, United Kingdom ; San Diego, CA, United States :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128178010,,False,,,"Cheng, Daizhan, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
10,N,,,,9780128146231,0128146230,0128146249,(OCoLC)on1089804692,(OCoLC)1089804692,(OCoLC)1229491497,53442855620002917,991023704148802917,Meta-analytics : consensus approaches and system patterns for data analysis / Steven Simske.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Morgan Kaufmann, an imprint of Elsevier,","Cambridge, MA :",2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128146231,,False,,,"Simske, Steven J., author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
11,N,,,,9780444639790,0444639799,0444639861,(OCoLC)on1089833198,(OCoLC)1089833198,(OCoLC)1229558035,53442855650002917,991023704148702917,"Radiation : fundamentals, applications, risks, and safety / Ilya Obodovskiy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780444639790,,False,,,"Obodovskiy, Ilya, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
12,N,,,,0128170859,9780128170854,,(OCoLC)on1090396925,(OCoLC)1090396925,,53442855680002917,991023704148502917,Basic biostatistics for medical and biomedical practitioners / Julien I.E. Hoffman.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press, an imprint of Elsevier,","London, United Kingdom :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128170847,,False,,,"Hoffman, Julien I. E., 1925- author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
13,N,,,,9780128143681,0128144327,9780128144329,(OCoLC)on1125326254,(OCoLC)1125326254,,53442855710002917,991023704148002917,"Modeling evolution of heterogeneous populations : theory and applications / Irina Kareva, Georgy Karev.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press, an imprint of Elsevier,",Amsterdam :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128143681,,False,,,"Kareva, Irina, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
14,N,,,,0128172169,0128172177,9780128172179,(OCoLC)on1104998863,(OCoLC)1104998863,(OCoLC)1176505802,53442855740002917,991023704148302917,Introduction to algorithms for data mining and machine learning / Xin-She Yang.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press, an imprint of Elsevier,","London, United Kingdom ; San Diego, CA, United States :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128172162,,False,,,"Yang, Xin-She, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
15,N,,,,9780128147610,012814761X,9780128147610,(OCoLC)on1076873218,(OCoLC)1076873218,(OCoLC)1249246839,53442855770002917,991023704149302917,"Data science : concepts and practice / Vijay Kotu, Bala Deshpande.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Morgan Kaufmann Publishers, an imprint of Elsevier,","Cambridge, MA :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128147610,,False,,,"Kotu, Vijay, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
16,N,,,,9780128135433,0128135433,0128135441,(OCoLC)on1089448414,(OCoLC)1089448414,(OCoLC)1229422179,53442855800002917,991023704149002917,"Model engineering for simulation / edited by Lin Zhang, Bernard P. Zeigler, Yuanjun Laili.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press, an imprint of Elsevier,","London, United Kingdom :",2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128135433,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
17,N,,,,9780444640895,0444640894,9780444640901,(OCoLC)on1286955938,(OCoLC)1286955938,(OCoLC)1286924925,53442855830002917,991023703950202917,"Synthesis of nanostructured materials in near and/or supercritical fluids : methods, fundamentals and modeling / Edited by Can Erkey, Michael Türk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",[S.l.] :,2021.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/22120505/8,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
18,N,,,,0444637249,0444637362,9780444637369,(OCoLC)on1285496629,(OCoLC)1285496629,(OCoLC)1285161976,53442855860002917,991023703950302917,"Foaming with supercritical fluids / Edited by Ernesto Di Maio, Salvatore Iannace, Giuseppe Mensitieri.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",2021.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/22120505/9,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
19,N,,,,9780128221952,0128221968,9780128221969,(OCoLC)on1289926242,(OCoLC)1289926242,(OCoLC)1289811245,53442855890002917,991023834052402917,"Petroleum related rock mechanics / Erling Fjær, R.M. Holt, A.M. Raaen, P. Horsrud.",,,,,,,,,,,,,,,,,,,,,,,,,,,perpetual,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2021.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/03767361/72,,False,,,"Fjaer, Erling, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,Y
